Altium Designer Pick and Place Locations
C:\Users\13551\AppData\Local\TempReleases\Snapshot\1\Assembly Unpopulated\Pick Place\Pick Place for PCB_V1(Unpopulated).txt

========================================================================================================================
File Design Information:

Date:       03/03/25
Time:       20:05
Revision:   Not in VersionControl
Variant:    Unpopulated
Units used: mil

Designator Comment                       Layer       Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                        
C31        "CAP 0805 22UF 10V 20% X5R"   TopLayer    0805_CAP_60H                    -41.069       250.005       180      "Capacitor Surface Mount 0805 Footprint 22UF 10V 20% Tolerance Ceramic X5R"                                                                                                                        
C18        100nF                         TopLayer    FP-CC0603-DA-MFG                298.931       255.005       180      "CAP CER 0.1UF 16V X7R 0603"                                                                                                                                                                       
Y1         ABS07-32.768KHZ-T             TopLayer    FP-ABS07-MFG                    -470.000      1270.000      0        "Parallel - Fundamental Quartz Crystal, 0.032768MHz Nom"                                                                                                                                           
U7         vc-02                         TopLayer    SON180P1700X265-20N             258.931       1545.005      270      "AI Audio Module"                                                                                                                                                                                  
U6         TPS61022RWUR                  TopLayer    FP-RWU0007A-MFG                 -66.069       356.895       90       "POWER MANAGEMENT"                                                                                                                                                                                 
U5         TPS61088RHLT                  TopLayer    FP-RHL0020A-MFG                 213.931       485.005       0        "Switching Regulator, Current-mode, 13A, 2200kHz Switching Freq-Max, PQCC20"                                                                                                                       
U4         TPS62086RLTR                  TopLayer    FP-RLT0007A-MFG                 -183.859      595.000       0        "IC REG BUCK 3.3V 3A 7VSON-HR"                                                                                                                                                                     
U3         ATSAMW25H18-MR210             TopLayer    ATSAMW25H18-MR210-Footprint-1   -420.919      1851.642      0        "WiFi 802.11b/g/n Transceiver Module 2.412GHz ~ 2.484GHz Integrated, Trace Surface Mount, Integrated SAMD21 Cortex M0+"                                                                            
U2         BQ24075RGTR                   TopLayer    FP-RGT0016C-IPC_A               -311.069      1090.005      180      "Power Supply Support Circuit, Adjustable, 1 Channel, 6.6, PQCC16"                                                                                                                                 
U1         FT234XD-R                     TopLayer    FP-DFN-12-MFG                   903.931       1610.005      270      "USB Bridge, USB to UART USB 2.0 UART Interface 12-DFN (3x3)"                                                                                                                                      
SW7        PTS810SJK250SMTRLFS           TopLayer    PTS810SJK250SMTRLFS-Footprint-1 518.994       1097.050      0        "Keypad Switch, 1 Switches, SPST, Momentary tactile button, 0.05A, 16VDC, 3.23N, Solder Terminal, Surface Mount-straight"                                                                          
SW6        JS202011JCQN                  TopLayer    FP-JS202011JCQN-MFG             729.318       1417.138      90       "Slide Switch, 2 Positions, DPDT, Latched, 0.3A, 6VDC, Solder Terminal, Surface Mount-straight"                                                                                                    
SW2        PTS810SJK250SMTRLFS           TopLayer    PTS810SJK250SMTRLFS-Footprint-1 640.000       530.000       180      "Keypad Switch, 1 Switches, SPST, Momentary tactile button, 0.05A, 16VDC, 3.23N, Solder Terminal, Surface Mount-straight"                                                                          
SW1        PTS810SJK250SMTRLFS           TopLayer    PTS810SJK250SMTRLFS-Footprint-1 1054.845      1070.663      0        "Keypad Switch, 1 Switches, SPST, Momentary tactile button, 0.05A, 16VDC, 3.23N, Solder Terminal, Surface Mount-straight"                                                                          
R40        1MOhm                         TopLayer    RESC1608X55X25LL10T15           -280.000      595.000       270      "Chip Resistor, 1 MOhm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                                                                                  
R39        "RES 0603 100 1%"             TopLayer    0603_RES                        248.931       1050.005      180      "Resistor Surface Mount, 100 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                                                                              
R38        "RES 0805 470 5%"             TopLayer    0805_RES                        -61.069       2025.005      90       "Resistor Surface Mount, 470 Ohms, 0805 Footprint, 5% Tolerance 0.125W"                                                                                                                            
R37        "RES 0805 470 5%"             TopLayer    0805_RES                        38.931        2025.005      90       "Resistor Surface Mount, 470 Ohms, 0805 Footprint, 5% Tolerance 0.125W"                                                                                                                            
R36        "RES 0805 470 5%"             TopLayer    0805_RES                        183.931       1990.005      0        "Resistor Surface Mount, 470 Ohms, 0805 Footprint, 5% Tolerance 0.125W"                                                                                                                            
R35        "RES 0603 0 5%"               TopLayer    0603_RES                        250.000       1115.000      0        "Resistor Surface Mount, 0 Ohms, 0603 Footprint, 5% Tolerance 0.1W"                                                                                                                                
R34        "RES 0603 10K 0.1%"           TopLayer    0603_RES                        339.380       2060.322      0        "Resistor Surface Mount, 10K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                                                                            
R33        "RES 0603 2K 0.1%"            TopLayer    0603_RES                        173.931       2180.005      0        "Resistor Surface Mount, 2K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                                                                             
R31        "RES 0805 732K 1%"            TopLayer    0805_RES                        -26.069       75.005        180      "Resistor Surface Mount, 732K Ohms, 0805 Footprint, 1% Tolerance 0.125W"                                                                                                                           
